summary,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
Tyrion is arrested for the murder of Joffrey and awaits trial. Sansa escapes King's Landing. Sam sends Gilly to Mole's Town as the Night's Watch finds itself in a tight spot. Meereen challenges Daenerys.,5,sadness,0.7680458,0.113366485,0.020066313,0.034522776,0.005025559,0.056615062,0.7680458,0.002357994
Jaime entrusts a task to Brienne. Daenerys frees Meereen. Jon is given permission to lead a group of Night's Watchmen to Craster's Keep. Bran and company are taken hostage.,0,anger,0.59524626,0.59524626,0.06130129,0.09568258,0.002691416,0.066504665,0.17584832,0.002725525
Tommen is crowned King of the Seven Kingdoms. Cersei builds her case against Tyrion. Sansa and Lord Baelish arrive at the Eyrie. The Night's Watch attacks Craster's Keep.,3,joy,0.62591255,0.027181532,0.00507156,0.01370042,0.62591255,0.2839144,0.013055638,0.031163922
Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.,4,neutral,0.63556486,0.1239559,0.023408124,0.03646552,0.104404815,0.63556486,0.066284806,0.009915945
Tyrion tries to find a champion. Daenerys sleeps with Daario. The Hound becomes wounded. Jon's advice is ignored at Castle Black. Brienne and Podrick receive a tip on Arya's whereabouts.,5,sadness,0.5474472,0.15701407,0.104508385,0.04422787,0.001430522,0.13959733,0.5474472,0.005774594
"Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Jorah Mormont. Oberyn Martell faces Gregor Clegane, the Mountain.",4,neutral,0.5325591,0.15468441,0.051683035,0.17477587,0.040615547,0.5325591,0.030436479,0.01524563
The battle between the Night's Watch and the wildlings has come.,4,neutral,0.84298986,0.023859525,0.00953127,0.068598874,0.01912007,0.84298986,0.01629587,0.019604472
"Jon makes an important decision. Daenerys experiences new consequences. Brienne and Podrick have an unexpected encounter. Bran achieves a goal, while Tyrion makes an important discovery.",3,joy,0.31809604,0.05082166,0.037256107,0.21213774,0.31809604,0.24626863,0.022678759,0.1127411
"Cersei and Jaime adjust to a world without Tywin. Tyrion and Varys arrive at Pentos. In Meereen, a new enemy emerges. Jon is caught between two kings.",4,neutral,0.5652612,0.043610435,0.029842408,0.3038865,0.004091834,0.5652612,0.02920107,0.024106592
Arya arrives in Braavos. Jaime takes on a secret mission. Ellaria Sand seeks revenge for Oberyn's death. Stannis makes Jon a generous offer as the Night's Watch elects a new Lord Commander. Daenerys is faced with a difficult decision.,0,anger,0.89580613,0.89580613,0.03303948,0.014817183,0.001440938,0.023436787,0.030120654,0.001338885
Tommen and Margaery wed. Arya has trouble adapting to her new life. Littlefinger reveals his plans to Sansa. Jon gives his first orders as Lord Commander. Tyrion and Varys arrive in Volantis.,5,sadness,0.8131994,0.014142213,0.035939466,0.02535828,0.011664741,0.09572656,0.8131994,0.003969365
"Jorah Mormont sets sail alongside his prisoner, Tyrion. Cersei makes a move against the Tyrells. Jaime and Bronn sneak into Dorne. Ellaria and the Sand Snakes make their plans. Melisandre tempts Jon. The Harpies attack.",2,fear,0.78565764,0.028061382,0.022983396,0.78565764,0.005876674,0.12760128,0.02673806,0.003081549
Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.,5,sadness,0.4858676,0.20418012,0.139507,0.14122531,0.001940414,0.025058292,0.4858676,0.002221315
Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.,5,sadness,0.37067798,0.34627613,0.061125748,0.12825303,0.004383873,0.087542795,0.37067798,0.00174047
Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.,5,sadness,0.55832064,0.10961725,0.21552385,0.07501951,0.003952911,0.03634598,0.55832064,0.00121989
Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.,0,anger,0.5648218,0.5648218,0.07234178,0.057404216,0.002482138,0.28528014,0.014378949,0.003290999
Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.,4,neutral,0.51586115,0.018822825,0.08073471,0.05885368,0.103981584,0.51586115,0.20089178,0.02085427
Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.,5,sadness,0.8480759,0.023200719,0.0713733,0.008675488,0.003374652,0.04340991,0.8480759,0.001889964
The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.,5,sadness,0.9771222,0.001480866,0.004616083,0.001871913,0.00161206,0.011561916,0.9771222,0.001734969
Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.,4,neutral,0.55348414,0.005302261,0.003929154,0.011984372,0.28323385,0.55348414,0.066534944,0.07553133
"Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs.",4,neutral,0.47003222,0.004106503,0.002447562,0.01667573,0.24716601,0.47003222,0.019583782,0.23998824
Sansa arrives at Castle Black. Tyrion makes a deal with the slave masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.,4,neutral,0.3796919,0.15501672,0.027829675,0.27208382,0.02826335,0.3796919,0.11477456,0.022339996
Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a red priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.,4,neutral,0.45525998,0.079119876,0.29150414,0.014128252,0.07702563,0.45525998,0.07638749,0.006574677
Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.,5,sadness,0.45089537,0.012127236,0.016743867,0.06555167,0.03630041,0.41128272,0.45089537,0.007098776
Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.,4,neutral,0.61020786,0.014625388,0.012447083,0.01721941,0.11206396,0.61020786,0.21163385,0.021802558
Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.,0,anger,0.91179717,0.91179717,0.031044167,0.023107603,0.001212976,0.014556685,0.017630078,0.00065121
Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,0,anger,0.72494704,0.72494704,0.011750433,0.15380493,0.012162099,0.07603278,0.018232314,0.003070416
Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.,0,anger,0.49334034,0.49334034,0.08952373,0.26846498,0.004728799,0.07652708,0.064497136,0.002917929
"Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""the North remembers."" Sam adapts to life in Oldtown. The Night King makes his way south.",4,neutral,0.9514251,0.006500396,0.018060239,0.00670173,0.00457276,0.9514251,0.009328242,0.003411527
Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.,2,fear,0.3311099,0.1127723,0.012030493,0.3311099,0.31383544,0.1241508,0.07385114,0.0322499
Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.,3,joy,0.635109,0.13597715,0.025498802,0.052373152,0.635109,0.091514386,0.012797688,0.046729937
Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.,4,neutral,0.92701834,0.012799812,0.015864745,0.004132574,0.024887266,0.92701834,0.011115666,0.004181558
Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.,0,anger,0.42409754,0.42409754,0.041569,0.31714243,0.005719626,0.15825915,0.050350316,0.002861907
Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.,2,fear,0.6073066,0.05670405,0.045476902,0.6073066,0.002727515,0.22951934,0.05249247,0.005773162
"Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow.",2,fear,0.9269512,0.009202544,0.003656027,0.9269512,0.006817631,0.006197571,0.005475723,0.041699227
Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.,2,fear,0.8232396,0.016586872,0.012273165,0.8232396,0.008131321,0.12456158,0.012540615,0.002666773
Jaime faces judgment and Winterfell prepares for the battle to come.,4,neutral,0.61440814,0.08770789,0.08035141,0.102863364,0.011999629,0.61440814,0.0998046,0.002864995
The Night King and his army have arrived at Winterfell and the great battle begins.,2,fear,0.48683357,0.03292882,0.010065901,0.48683357,0.085292295,0.3363442,0.028733943,0.019801358
The Battle of Winterfell is over and a new chapter for Westeros begins.,4,neutral,0.5564897,0.014414107,0.010474297,0.08742315,0.2846483,0.5564897,0.022274764,0.02427562
Forces have arrived at King's Landing for the final battle.,4,neutral,0.83483297,0.010241035,0.006053925,0.004955301,0.1170698,0.83483297,0.009507167,0.017339809
"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",2,fear,0.8426443,0.014909407,0.03345321,0.8426443,0.004169155,0.014268193,0.088795945,0.001759751
"The first Pilot of what will become ""The Big Bang Theory"". Leonard and Sheldon are two awkward scientists who share an apartment. They meet a drunk girl called Katie and invite her to stay at their place, because she has nowhere to stay. The two guys have a female friend, also a scientist, called Gilda.",1,disgust,0.65820336,0.013963576,0.65820336,0.01329815,0.0552222,0.19065073,0.052400764,0.016261218
"A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.",1,disgust,0.7278994,0.010871419,0.7278994,0.01128281,0.039742757,0.1389054,0.043660805,0.027637444
Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.,0,anger,0.9385548,0.9385548,0.01415774,0.004930189,0.000801352,0.031787258,0.00538879,0.004379873
"Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him.",0,anger,0.5939042,0.5939042,0.23276706,0.01099453,0.00538645,0.121193305,0.026475206,0.009279163
Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.,0,anger,0.53104055,0.53104055,0.1494124,0.024862025,0.001060088,0.076648645,0.21122459,0.005751745
"Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand.",1,disgust,0.6320246,0.09304169,0.6320246,0.010589219,0.004650438,0.16783683,0.08831975,0.003537416
"The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt.",3,joy,0.51788074,0.010332646,0.01479167,0.002227617,0.51788074,0.37822813,0.010126391,0.06641273
"When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys.",4,neutral,0.32499152,0.079104304,0.26361644,0.018241413,0.011072015,0.32499152,0.29856902,0.004405261
"When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol.",1,disgust,0.93131787,0.016530573,0.93131787,0.004887078,0.000913963,0.0353937,0.007898395,0.003058409
"Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't.",4,neutral,0.4420019,0.21822692,0.25628623,0.004755492,0.004258214,0.4420019,0.06896191,0.005509383
"Leonard lies to Penny so that he and Sheldon can get out of watching her perform. However, Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it.",4,neutral,0.8598052,0.0637126,0.04324388,0.003256633,0.002624192,0.8598052,0.019928986,0.007428485
"When Sheldon gets sick, Leonard, Howard and Raj go AWOL, leaving a reluctant Penny to deal with him.",2,fear,0.8879072,0.009472838,0.009079393,0.8879072,0.001263595,0.04768913,0.04157146,0.003016309
"Sheldon decides to give up his work and focus on other tasks when a 15-year-old prodigy joins the university, so the other guys come up with a plan to get rid of him.",4,neutral,0.6742931,0.095014535,0.14582033,0.005287814,0.011994004,0.6742931,0.06269002,0.004900193
"Sheldon becomes so intent on demonstrating his intellectual superiority over the other guys that they kick him off the Physics Bowl team and replace him with his nemesis, Leslie.",1,disgust,0.38340837,0.24381106,0.38340837,0.017263636,0.002864085,0.33350885,0.013281896,0.005862153
"Penny gets mad at the guys when their full scale model of a time machine causes her to miss work, which prompts Leonard to give up all of his nerd memorabilia.",0,anger,0.5779823,0.5779823,0.088578224,0.014450633,0.006737215,0.14146063,0.13748476,0.033306293
"Leonard, Howard and Raj fight over Sheldon's twin sister when she arrives in town. Raj takes part in a drug trial to suppress his selective mutism.",0,anger,0.4903514,0.4903514,0.18590748,0.04295005,0.005082785,0.23818119,0.034105983,0.003421025
"When Penny learns that Leonard has never had a birthday party, she and the rest of the guys plan a surprise party for him.",6,surprise,0.48603567,0.015871549,0.002735809,0.001370563,0.27121988,0.199497,0.023269545,0.48603567
"After a bad breakup, Penny finally agrees to go out on a date with Leonard, however they both develop doubts and turn to Sheldon for advice.",5,sadness,0.5756568,0.011974624,0.015275668,0.010557125,0.10907566,0.27149183,0.5756568,0.005968331
"Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.",0,anger,0.7873087,0.7873087,0.04074603,0.063581645,0.001080114,0.081414305,0.021629352,0.004239855
Sheldon is annoyed when Leonard turns to Leslie for comfort after seeing Penny with another guy.,0,anger,0.60483044,0.60483044,0.15928748,0.007468489,0.002519565,0.17950553,0.033807155,0.012581359
"Sheldon introduces Penny to online gaming, however she refuses to quit after becoming addicted.",4,neutral,0.8959729,0.009715525,0.030505288,0.004403561,0.008964251,0.8959729,0.041525736,0.008912723
The guys struggle to cope with Raj's arrogance after he is featured in a People magazine article.,4,neutral,0.62647384,0.060570657,0.2676145,0.007756774,0.004478357,0.62647384,0.023601057,0.009504798
"Sheldon annoys the gang when Leonard can't drive him to and from work, so they try to teach him how to drive.",0,anger,0.41170603,0.41170603,0.1987677,0.003515284,0.009990355,0.31789333,0.04548681,0.012640521
"Sheldon is flattered when a graduate student takes a shine to him, however her extreme devotion becomes too much to handle.",1,disgust,0.4991109,0.157724,0.4991109,0.002078175,0.00388831,0.31677568,0.014344272,0.006078702
"Penny plans revenge when Sheldon bans her from his and Leonard's apartment, while Howard and Raj use the latest technology to try to find the house being used in ""America's Next Top Model.""",0,anger,0.6431595,0.6431595,0.15381734,0.005567537,0.004181532,0.17394677,0.012403839,0.006923516
Leonard and Howard's friendship is jeopardised when Leonard steals a girl from Howard.,2,fear,0.41596034,0.4113359,0.055130515,0.41596034,0.003217601,0.042668156,0.069299184,0.002388328
"Sheldon believes that Leonard will wreck his relationship with Stephanie, so he decides to take matters into his own hands.",4,neutral,0.7231954,0.10319504,0.08056577,0.032930896,0.00390464,0.7231954,0.051993232,0.004215012
"Leonard tries to slow down his relationship with Stephanie when he realizes that they are living together, while Sheldon becomes convinced that he has an untraceable disease.",4,neutral,0.64722216,0.036516022,0.18910071,0.078501195,0.003443494,0.64722216,0.033371262,0.011845132
"Leonard is disappointed when Penny develops an interest in an attractive physicist at the university. Meanwhile, Sheldon struggles to find an appropriate Christmas gift for Penny.",5,sadness,0.908393,0.009918571,0.011438669,0.001341376,0.002620192,0.04848096,0.908393,0.017807176
"Howard becomes depressed after Penny makes a cruel statement about his love life, while the rest of the guys prepare for a grudge killer robot duel against an obnoxious colleague at the university.",5,sadness,0.64639497,0.060867194,0.17606641,0.011399929,0.004530149,0.094883926,0.64639497,0.005857532
Sheldon tries to make friends with Kripke in the hope that it will get him access to a coveted computer at the university.,4,neutral,0.8349143,0.048128795,0.052435733,0.006212194,0.03756806,0.8349143,0.008689067,0.01205192
Leonard and Sheldon try to help out Penny when she can't afford to pay her rent.,5,sadness,0.5042804,0.14411828,0.07552046,0.01827735,0.004682498,0.24483216,0.5042804,0.008288852
"Sheldon hits it off with Leonard's psychoanalyst mother, but she drives Leonard and Penny to the bottle.",4,neutral,0.6356145,0.11702441,0.16775607,0.007532989,0.006057611,0.6356145,0.056128073,0.00988628
"Howard hooks up with Leslie, while Penny accidentally ruins Sheldon's spot on the couch.",4,neutral,0.67657006,0.048823837,0.1835725,0.006324224,0.012021854,0.67657006,0.04259448,0.03009308
"On a train to San Francisco, Howard, Raj and Leonard fight for the affections of sci-fi star Summer Glau, while Sheldon is forced to turn to Penny for help when he leaves his flash drive behind.",4,neutral,0.27515864,0.18722245,0.1030704,0.2597279,0.006406879,0.27515864,0.14115638,0.027257385
Sheldon's assistance with Penny's home-based business leads to chaos.,4,neutral,0.35623094,0.23299013,0.047676016,0.17667113,0.006989524,0.35623094,0.16422467,0.015217542
Penny becomes jealous when a gorgeous new neighbor attracts the guys' attention.,1,disgust,0.40850002,0.3618227,0.40850002,0.003316944,0.022138294,0.13274562,0.044405438,0.027070876
"Leonard is upset when the owner of the comic book store goes on a date with Penny, so he convinces Howard and Raj to take him to a bar so that he can pick up a woman of his own.",4,neutral,0.43095556,0.3176883,0.19729787,0.005506756,0.011092926,0.43095556,0.02472304,0.012735547
"After being dumped by Leslie, Howard heads to Las Vegas with Leonard and Raj. Meanwhile, Penny is forced to take in Sheldon after he locks himself out of his apartment.",5,sadness,0.72270095,0.041616425,0.12092496,0.012592217,0.003566744,0.09175086,0.72270095,0.00684785
Penny's second date with Stuart has significant implications for Leonard. Howard enlists the guys' help with one of his NASA projects.,4,neutral,0.92069846,0.009756627,0.012860024,0.004934275,0.005849484,0.92069846,0.02731922,0.018581955
Penny gets upset when she finds out Leonard and the guys plan to work at the North Pole for the summer.,4,neutral,0.5187946,0.24601825,0.066939324,0.010052721,0.009742811,0.5187946,0.10597066,0.042481616
"After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.",0,anger,0.5720342,0.5720342,0.065549254,0.021582827,0.004010599,0.13959567,0.19030961,0.006917764
Leonard and Penny's first night together goes awkwardly. Sheldon and Howard wager on the species of a cricket.,4,neutral,0.5003701,0.007272047,0.1915309,0.1797618,0.065528154,0.5003701,0.03680783,0.018729227
"Sheldon attempts to covertly alter Penny's habits, while Howard and Raj try their luck meeting women at a Goth-style club.",4,neutral,0.6389365,0.021685688,0.29167935,0.012424647,0.01698923,0.6389365,0.009848369,0.008436284
"When Raj has to find a new job or be sent back to India, Sheldon's solution leaves Leonard and Penny dealing with Howard as the third wheel.",5,sadness,0.58316153,0.02571598,0.0458051,0.019592535,0.0032872,0.31436825,0.58316153,0.008069412
