Title,Description
Travels with Scout,"Cameron wants to join Dylan's band. Claire is suspicious when Phil's father pays a visit, and Manny is traumatized by a horror movie."
Airport 2010,Gloria's birthday present to Jay of a trip to Hawaii becomes a vacation for the entire family.
Hawaii,"Jay's plan to relax in Hawaii are thwarted. Phil tries to make the vacation special for Claire, but this results in the kids being unsupervised. Mitchell and Cameron debate on what to see."
Family Portrait,"Claire goes through great lengths to organize a family portrait. Gloria and Phil have an awkward moment while taking Manny and Alex to a Lakers game. Cameron becomes a wedding singer, and Jay has to help Luke with a school project."
The Old Wagon,"The Dunphys get nostalgic when Phil has to get rid of their station wagon. Cameron begs Jay to intervene when Mitchell wants to build Lily a castle, and Manny invites a girl over to study."
The Kiss,"Cameron is upset with Mitchell's lack of public affection, Gloria gets back at Jay for disrespecting her Colombian traditions, and Claire goes overboard as Alex tries to get her first kiss."
Earthquake,"When an earthquake hits the area, Claire gets locked in the bathroom with a plumber, Cameron and Mitchell use it as an excuse to get out of brunch with an obnoxious friend, and Manny reevaluates the meaning of life while on a trip with Jay."
Strangers on a Treadmill,"Mitchell and Claire agree to break some embarrassing news to each other's significant others, Jay makes a fool of himself at what he thinks is a quinceanera, and Haley helps Alex try to make a popular friend."
Unplugged,"Phil, Claire, and the kids try to improve their communication skills by giving up their electronic devices. Gloria is getting obsessed over a neighbor's barking dog, and Mitchell and Cameron try to find a preschool for Lily."
Halloween,"Claire needs the family's help to run Halloween smoothly at their house. Jay and Manny have fun at Gloria's expense, and the holiday brings back painful memories for Cameron."
Chirp,"While Claire and Haley get sick at the same time, Phil wages battle against a chirping smoke detector. Manny accidentally gets one of Jay's employees fired, and Cameron wants to put Lily in a TV commercial."
Manny Get Your Gun,A birthday dinner for Manny at a family restaurant turns into a race for Phil and Claire and a chance for Cameron to socialize at a shopping mall while looking for a gift.
Mother Tucker,Jay and Manny's online diagnosis of Jay's illness makes matters worse. A visit from Cameron's mother sends Mitchell into a frenzy. Phil is more upset about Haley's breakup with Dylan than she is.
Dance Dance Revelation,"Claire is threatened when Gloria becomes her co-chair for a school dance, Jay bullies Phil into taking a stand during a trip to the mall, and Mitchell and Cameron discover that their daughter is a biter."
Slow Down Your Neighbors,"Claire tries to stop a woman from speeding in the neighborhood, which creates a business conflict for Phil. Meanwhile, Mitchell and Cameron befriend a strange new neighbor, and Gloria and Manny learn how to ride a bicycle."
"Our Children, Ourselves","Phil and Claire question their intelligence after a comment by Alex, Mitchell suspects that he fathered a child 8 years ago, and Gloria tells an embarrassing lie about Jay to cover up his rudeness to another couple."
Caught in the Act,"Phil and Claire's kids walk in on them having sex while delivering their anniversary present, Gloria tries to keep Claire from seeing an angry e-mail, and Mitchell and Cameron contemplate how to cover up a juice stain on a rug."
Bixby's Back,"Phil and Clair try to revisit an old Valentine's Day act, Jay tries to surprise Gloria with a romantic dinner, Mitchell and Cameron disagree over Mitchell's assistant's crush, and Manny gives Haley relationship advice."
Princess Party,"Dede hooks up with Claire's high school boyfriend the night before Lily's birthday party. Meanwhile, Mitchell won't let Cameron play Fizbo the Clown at the party, while Gloria self-medicates to cope with Dede."
Regrets Only,"Gloria helps Phil figure out why Claire is mad at him, Mitchell forgets to send out invitations to Cameron's fund raiser, and Alex tries to prove that Haley is lying when she says she has a job as a waitress."
Two Monkeys and a Panda,"Phil spends the day at the spa while Claire tries to replace Haley's favorite sweater, Cameron discovers Mitchell's dirty secret about Lily's adoption, and Jay and Gloria argue over their final resting place."
Boys' Night,"Phil and Claire have some trepidation when they find out that Luke has befriended their crotchety old neighbor, Mr. Kleezak; Jay's attempt to avoid sitting through a symphony concert with Gloria and Manny lands him in the middle of Mitchell and Cameron's ""boys' night out""; and Haley has her own adventures in babysitting with Lily."
The Musical Man,"Phil's new real estate ad creates embarrassment for Claire and Haley, Cameron goes over the top while directing a school musical, and Jay's brother comes to town with some surprising news."
Someone to Watch Over Lily,"Mitchell and Cameron try to determine Lily's guardian in case something happens to them, Claire is scared that Luke will turn out like Phil, and Haley bonds with Alex after she is forced to take Alex to cello practice."
Mother's Day,"Cameron is upset that Mitchell thinks he's the ""Mom"" of the family, Claire and Gloria take the kids on a disastrous hike, and Phil witnesses Jay tearing up while they prepare Mother's Day dinner."
Good Cop Bad Dog,"Phil and Claire trade discipline roles for the day, Gloria forces Jay to listen to a horrible business proposal, and Mitchell tries to convince a sick Cameron to let him go to the Lady Gaga concert without him."
See You Next Fall,"Haley tries to convince Alex not to deliver an angry graduation speech, Jay has a botched Botox procedure, and Cameron gets upset with Mitchell because he keeps laughing at his accidents."
The One That Got Away,"Jay wants nothing more than to have a quiet birthday out fishing on the lake, but the family take that as him wanting a big celebration, and in their frantic scramble to put everything together, Claire and Mitchell wind up trapped in the yard of their childhood home; Phil runs into his old college nemesis while at the mall with Gloria and Lily; Cameron gets himself into some hot water at the bakery, and the kids frantically do some creative editing on grandpa's birthday video, all of which leaves Jay with a headache."
Dude Ranch,"The family's dude ranch vacation turns into disaster when Dylan proposes to Haley, Alex gets an unexpected first kiss, their cowboy guide keeps hitting on Gloria, and Phil goes out of his way to impress Jay."
When Good Kids Go Bad,"Lily has problems with Mitchell and Cameron's plans to adopt another child, Jay tries to get Manny to confess to stealing a locket at school, and Claire goes to extreme lengths to prove that she was right in an argument."
Phil on Wire,"Phil tries to learn tightrope walking, Haley and Alex wind up in the same math class, Gloria becomes upset over Jay's pampering of the dog, and Mitchell joins Cameron on a juice fast."
Door to Door,"Claire recruits her family to help gather signatures for a petition to get a stop sign, Gloria loses the family dog, Jay helps Manny try to sell wrapping paper for school, and Cameron leaves a mess in the kitchen for Mitchell."
Hit and Run,"Claire leaves Phil at home to watch the kids while she applies to run for public office, Mitchell and Cameron are victimized by a hit-and-run driver, and an annoying client asks Jay to ""wow"" him."
Go Bullfrogs!,"While Phil takes Haley on a tour of his alma mater, Claire goes out on the town with a man she mistakenly assumes is Mitchell and Cameron's gay friend. Meanwhile, Gloria is alarmed and curious about Manny's mail-order package."
Treehouse,"Phil tries to build a treehouse, Haley struggles with writing a college admissions essay, Cameron hits on a single woman to win a bet with Mitchell, and Jay doesn't want to go out salsa dancing with Gloria and another couple."
After the Fire,"As the family collects goods for a family whose house burned down, Jay makes an embarrassing remark to Phil during a massage, Claire is jealous of Mitchell's friendship with Gloria, and Cameron struggles with a moving van in a parking lot."
Punkin Chunkin,"Phil is upset that Claire is stifling his creativity, Mitchell doesn't believe Cameron's ""punkin chunkin"" story, Gloria won't let Jay tell Manny that his Thanksgiving centerpiece is horrible, and Hayley and Alex get in an accident."
Express Christmas,"Phil proposes that the entire family celebrate ""Express Christmas"" together on December 16, when they discover that they won't be spending Christmas Day together."
Lifetime Supply,"After having a doctor's visit but then missing the call with the test results, Phil automatically jumps to conclusions and starts saying his goodbyes. Meanwhile Javier pops up unannounced again and takes Manny to the horse races for a belated birthday celebration, and a subtle competition ensues when Mitchell brings home an environmental law award and it becomes a game of who has the bigger trophy."
Egg Drop,"While Jay and Claire become hyper-competitive while working on their boys' science project, Gloria tries to help Phil with his real estate seminar. Meanwhile, Cameron and Mitchell interview a potential birth mother."
Little Bo Bleep,"Claire's family tries to help her prepare for her political debate, Lily begins saying the ""F word"" right before her appearance as a flower girl at a wedding, and Jay begins to wonder if his dog Stella is suicidal."
Me? Jealous?,"Claire thinks Phil's prospective new client is hitting on her, tensions rise as Mitchell and Cameron temporarily stay with Jay and Gloria, and Alex becomes jealous when Hayley volunteers as a Big Sister."
Aunt Mommy,"Claire makes a drunken decision to donate her egg for Mitchell and Cameron's next child, while Manny gets hurt after Jay gets him into a football game."
Virgin Territory,"Alex accidentally reveals a secret about Haley to their dad, Cameron fakes a back injury to catch Claire in a lie, Mitchell confesses a secret about one of Jay's proudest moments, and Luke helps Manny try to impress a girl."
Leap Day,"Claire, Hayley, and Alex's cycles ruin Phil's big Leap Day plans, Mitchell tries to throw an elaborate party for Cameron's ""tenth"" birthday, and Gloria wants Jay to get in a fight."
Send Out the Clowns,"Cameron reunites an old clown act despite Mitchell's warnings, Phil plays hardball with a rival to get a listing, Manny's new ""friend"" has a crush on Gloria, and Claire wants her daughters to friend her on Facebook."
Election Day,"It's Claire's election day, and the entire family tries in vain to pitch in to help her win the vote. Meanwhile, Haley anxiously awaits her final chance to get accepted into a college."
The Last Walt,"Cameron's dad is visiting from the farm, and when Jay comes over, it's two manly men squaring off."
"Planes, Trains and Cars","Phil makes an impulsive car purchase and wonders how Claire will react, Jay struggles to get himself and his family to a weekend with the guys at Pebble Beach, and Mitchell and Cameron lose Lily's stuffed bunny on the subway."
Disneyland,Visiting the happiest place on earth triggers old memories and creates new ones.
Tableau Vivant,"Jay and Gloria argue about how a waitress is closer to Jay than Gloria. Luke is awarded a medal for putting out a fire he started, Phil tries to fire Mitchell, and Claire and Cam fight about Cam's parenting strategies."
Baby on Board,"Jay and Manny are left to accompany Lily at her recital as Mitchell and Cameron bring Gloria along as translator as they adopt a Mexican child. Meanwhile, Haley has a surprise announcement about her plans after high school."
Bringing Up Baby,"Gloria tries to surprise Jay with news on his birthday that she is pregnant, while Phil surprises Jay with a fishing trip. Meanwhile, Mitchell and Cameron debate getting Lily a cat after she loses out on getting a baby brother."
Schooled,"Phil and Claire get emotional as they send Haley off to school, Manny makes Jay and Gloria take a parenting class, and Mitchell and Cameron clash with lesbian parents from Lily's school."
Snip,"Claire has problems with the kids as Phil prepares to get a vasectomy, Gloria refuses to wear maternity clothes, and Mitchell encourages Cameron to get a job."
The Butler's Escape,"Phil is upset that Luke wants to give up magic, Jay tries to get away from Gloria's snoring, Mitchell does errands as Cameron starts his new job as music teacher, and Alex suddenly becomes more sarcastic."
Open House of Horrors,"Claire tries to scare Phil on Halloween night, Cameron tries to show off his new slimmer body at his Halloween party, and Mitchell's white lie about Lily's mother gets him in trouble."
Yard Sale,"A yard sale at Jay's house reveals a secret in Gloria's past, Phil's wild side when he tries Jay's old motorcycle, and concern that Alex's new boyfriend might be gay."
Arrested,"When Haley is arrested for underage drinking, Phil, Claire, and Mitchell must intervene, leaving Cameron in charge of the kids. Jay's ex-wife, DeDe, makes a surprise visit, and he desperately tries to hide Gloria's pregnancy from her."
Mistery Date,"While Claire and the kids are away at one of Alex's competitions, one of Cam's friends has a ""date"" with Phil. Meanwhile, Mitchell has a breakthrough with Jay on a shopping trip, and Cameron gets Jay and Gloria a surprise gift."
When a Tree Falls,"Mitchell and Cameron fight to save a tree, Phil and Jay literally come to blows at a kids' birthday party, Claire goes shopping with Gloria--who is suffering from ""pregnancy brain,"" and Alex tries to get an embarrassing photo of Haley."
Diamond in the Rough,Gloria buys a microphone so she can sing to her unborn baby. Claire and Cameron try to renovate a baseball field so Luke's and Manny's baseball team has a place to play.
New Year's Eve,"On New Year's Eve, Jay plays poker with Billy Dee Williams, Phil and Claire try to rekindle their romance, Mitchell and Cameron search for a bar where they fit in, and Haley and Alex stay home to babysit."
Party Crasher,"Jay and Gloria throw a surprise birthday party for Manny, but their unborn baby may have other plans. Meanwhile, Haley dates a man twice her age, and Cameron becomes jealous of Mitchell and Lily's relationship"
Fulgencio,"Jay fights with his mother in law over naming the baby, Phil unsuccessfully tries to solve his kids' problems, and Mitchell and Cameron try to curb Lily's snarkiness."
A Slight at the Opera,"Cam is left without a lead on the first school performance of ""Phantom of the Opera,"" Phil and Mitchell play golf with Jay, and Haley and her boyfriend help Claire take care of the baby."
Heart Broken,"Phil and Claire's Valentine's plans land Claire in the emergency room, Jay and Gloria try to be intimate for the first time after the baby, and Mitchell has a wild Valentine's night after drinking and blacking out at his party."
Bad Hair Day,"Claire runs into an old lover at her college reunion, a mishap causes Cam to give the baby a disastrous haircut, and Jay has to put his bowling match on hold to build up Manny's confidence."
Best Men,"Mitchell and Cameron are co-best men for a friend's wedding, but the bride has cold feet. Meanwhile, Manny has a crush on the nanny, Phil helps Luke get a date, and Claire and Haley go together to Alex's concert."
The Wow Factor,"Claire and Cam clash over a fountain as they try to flip a house, Mitchell confronts a playground bully, Jay spends the day alone with Joe, and Phil tries to teach the girls about home repairs."
The Future Dunphys,"Phil and Claire get a possible glimpse at their future children, Gloria helps Lily get in touch with her Vietnamese heritage, and Jay tries to help Manny get into a prestigious prep school."
Flip Flop,"Phil pulls out all the stops to flip Cameron and Claire's house and avoid embarrassment from a rival realtor, and Gloria is jealous of Manny's. relationship with her ex-husband Javier's new girlfriend."
Career Day,"Phil's rival, Gil Thorpe, offers Claire a job, Lily gets a extra-generous gift from the Tooth Fairy, and Jay decides to begin working on his novel."
My Hero,"Cam is jealous of Mitchell's ex-boyfriend, Claire tries to avoid her dad's job offer, Manny has to write an essay about his hero, Phil tries to teach Gloria to skate, and Hayley tries to help Alex flirt with boys."
Games People Play,"The Dunphys take an RV trip together, Mitchell and Cam become over-competitive at Lily's gymnastics meet, and Jay and Gloria are upset that they weren't invited to a party."
Goodnight Gracie,"The family goes to Florida for Phil's mother's funeral. Phil has to honor his mom's odd last request, Jay sees a familiar face, Mitchell defends Gloria in court, and Cameron makes some new friends."
"Suddenly, Last Summer","Mitchell and Cam go behind each other's backs to set up the perfect marriage proposal, Gloria is sad about sending Manny to Colombia, and Phil and Claire try to arrange the kids' vacations to maximize their ""alone time."""
First Days,"Manny and Luke have their first day of high school, Cam works as a substitute social studies teacher, Claire begins her new job working for her dad, and Mitchell's boss hits on Haley."
Larry's Wife,"Mitchell leaves the wedding plans to Cam, who is busy preparing a cat funeral for Lily. Meanwhile, Phil tries to cater his real estate business to divorced women, and Gloria thinks her baby may be cursed."
Farm Strong,"Cam's sister comes to town with good news, Phil and Claire agree to skip Luke's soccer game, Gloria refuses to admit she needs glasses, and Alex thinks Jay is cheating at Words With Friends."
The Late Show,"Jay pulled a lot of strings to get reservations at the hottest new restaurant for a family adult's night out. Unfortunately, in each household everyone is running late."
The Help,"Phil tries to get dad back in the dating scene, Jay does not like Gloria's new choice for a nanny, and Mitchell and Cameron are not impressed with their old friend Pepper's plans for their wedding."
A Fair to Remember,"At a local fair, Phil tries to surprise Claire with an anniversary gift, Jay works as a ""police officer,"" Manny enters a cake baking contest, Luke confronts a crush, and Cameron tries to rally the football team."
ClosetCon '13,"Claire joins Jay at a closet convention; Cam, Mitchell and Lily visit Cam's childhood Missouri farm, Phil breaks Jay's priceless Apollo 13 model, and Hayley and Alex fight over the pizza delivery guy."
The Big Game,"Cam tries to break a school record as freshman football coach, Phil is on the verge of his first month without selling a house, Claire still struggles with being the boss's daughter, and Mitchell tries to let his boss down easily."
The Old Man & the Tree,"Luke helps Phil try to reach Canada on his elliptical machine, Jay and Manny try to get a Christmas tree in the wild, Gloria is jealous of Claire and her mom, and a mix-up lands Cam and Lily with the homeless at Christmas."
And One to Grow On,"Phil tricks Luke into taking a dance class, but the joke is on him when the white lie indirectly lands him in the slammer. Meanwhile, Jay and Gloria throw a birthday party for Manny and Joe but are worried that Manny might be hitting on girls who are way out of his league. And Mitch and Cam are having more problems with planning their wedding when they get a rude awakening in the cutthroat world of booking a wedding venue."
Under Pressure,"The parents go to open house at school, Alex goes see a therapist, Manny and Luke have a double date with twins, and Mitchell doesn't feel like he's ""green"" enough after speaking to his neighbor."
Three Dinners,"Phil and Claire take Hayley to dinner to discuss her future, Shorty tells Jay that he and his wife are moving to Costa Rica, and Mitchell and Cam unknowingly interrupt a couple's surprise engagement dinner."
iSpy,"Gloria is suspicious of Jay after he says ""baby"" in a dream, Phil and Claire spy on Haley, Luke and Manny, and Mitchell is reluctant to share some juicy gossip with Cameron."
The Feud,"The feud between Phil and Gil Thorpe reaches a new level, a lice outbreak hits the family, Haley and Alex are trapped in the basement by a possum, and Manny and Gloria are embarrassed during a school field trip."
Spring-A-Ding-Fling,"A returning teacher steals Cam's thunder at the school dance he organized, Mitchell discovers that his new boss is evil, Hayley goes with Phil to an awards show, and Jay and Gloria try to get Lily to confess."
Other People's Children,"Gloria and Claire take Lily dress shopping, Jay teaches woodworking to Luke, Cameron tries to get out of a museum trip, and Phil helps Andy make a video for his girlfriend--which Hayley thinks is lame."
Vegas,"On a trip to Las Vegas, Jay wheels and deals to get a better room, Claire tries to win back the money she lost last year, Phil tries to get into a magician's club, and Cameron chooses a bachelor party over a spa day with Mitchell."
A Hard Jay's Night,Jay's plans to host a family evening are derailed when Phil gets in trouble trying to sell Gloria's old apartment and Mitchell doesn't approve of the wedding topper Cameron's father made.
Australia,The family joins Phil in Australia as he fulfills his late mother's wishes to discover where his parents had their honeymoon.
Sleeper,"Phil has to tell an elaborate lie to Claire when he messes up a household task. Gloria is put in charge of the family portrait, and Jay enters Stella in a dog show."
Message Received,"Mitchell and Cameron have to sell a few prized possessions to afford their wedding. Phil and Claire are the victims of a practical joke pulled off by their kids. Jay, Gloria and Manny are each forced to confront a fear."
"The Wedding, Part 1","Preparations for Mitchell and Cameron's wedding become a logistical nightmare, especially when a wildfire pushes the wedding time four hours ahead of schedule."
"The Wedding, Part 2",A series of mishaps and unruly guests threaten to undermine Mitchell and Camerson's wedding.
The Long Honeymoon,Cameron isn't ready to conclude his honeymoon with Mitchell after their wedding. Gloria takes Jay to task over his appearance. The Dunphys must ready themselves for the return to school.
Don't Push,"Phil, Luke, and Haley cause nothing but aggravation for Alex when they tag along on her tour of Caltech. Jay and Gloria have trouble finding the perfect gifts for their anniversary."
The Cold,"The Dunphys are down with a cold, thanks to Phil. Jay and Gloria try to help Manny deal with playing football, and Cameron doesn't know how much playtime to give him. Mitchell debates with Lily's new friend, Sydney."
Marco Polo,"Things become tense when the Dunphys temporarily move into a hotel, Gloria is suspicious of Manny's new girlfriend, and Mitchell discovers that he has jinxed Cameron's football team."
Won't You Be Our Neighbor,"The Dunphys try to persuade the perfect couple to move in next door, Manny dates the daughter of Jay's biggest nemesis, and Mitchell and Cameron try to get Lily a new teacher."
Halloween 3: AwesomeLand,Phil takes over Halloween decorating duties from Claire. Jay is upset when he wants to dress up as Prince Charming but Gloria buys him a Shrek costume. Mitchell has a problem in court with the stenographer working in a scary costume.
"Queer Eyes, Full Hearts","Haley and Andy start spending a lot of time together. Gloria wants Manny to learn Spanish at school instead of French, and a reporter takes more than a passing interest in Cameron and Mitchell's lives."
Three Turkeys,Phil and Luke take over Thanksgiving duties but Claire readies an emergency plan. Jay and Gloria get their holiday plans interrupted and regret not telling anyone. Cameron has to think of a way to get Lily to wear a dress for dinner.
Strangers in the Night,"Jay and Gloria try to get out of parties they must attend. Mitchell's kind gesture to a co-worker backfires on him, and Phil and Claire think Alex is lying when she tells them she found a boyfriend."
Haley's 21st Birthday,"Haley celebrates her 21st birthday, but will anything go wrong?"
The Day We Almost Died,"While driving out to get breakfast, the Dunphys including Manny have a near death experience causing everyone to reevaluate their lives. Claire resolves to be more fun and less uptight, Haley and Alex agree not to fight anymore, Manny refuses to ever ride in a car again, Luke wants to check off his bucket list, Phil decides to be a take action type of guy and the rest of the family has to bear the brunt of all the new attitudes."
The Big Guns,"The Dunphys want their neighbors to move their boat out the driveway, Jay is determined to potty train his son while Manny learns the hard way he wasn't a special child, and Mitchell disapproves when Cam trains Lily to be Fizbo's sidekick."
Rash Decisions,"When Phil thinks Luke is giving him the cold shoulder. Andy becomes Phil's new right-hand man. Meanwhile, Jay may have to give Stella away because Joe is allergic to her, and Mitchell savors being the popular guy in the office."
Valentine's Day 4: Twisted Sister,Claire has difficulty in accepting that Phil is more interested by her alter-ego Juliana. Gloria's sister tries to seduce Jay. Mitch and Cam have to get back a present for their friend Anders.
Fight or Flight,"A single first-class upgrade comes between Phil and Claire, Sal abandons her baby during Mitchell and Cam's baby shower, Jay helps Manny confront a bully, and Alex and Haley help Luke break up with a girl via text message."
Connection Lost,Claire is stuck at an airport and trying to digitally track down Haley after an argument.
Closet? You'll Love It!,"Jay and Claire scramble to shoot a commercial in response, but there might be some creative differences between father and daughter. A peeping-Tom in the neighborhood keeps using a drone to spy on Gloria."
Spring Break,"Hayley gets Alex drunk at a concert, Phil becomes jealous of Luke's increasing abilities, Cam gets in trouble over a song at a talent show, and Mitchell and Jay try to go behind their spouses' backs."
"Grill, Interrupted","Jay isn't impressed with Phil's birthday gift, Alex isn't excited about her acceptance to Cal Tech, Mitch and Cam get an inheritance, Andy sees Hayley for the first time since the hospital, and the boys sneak alcohol behind Gloria's back."
Knock 'Em Down,"Jay agrees to sub on Cam's bowling team, not knowing it's an all-gay league. Phil and Claire finally bond with their neighbors over an offensive statue. Gloria and Mitchell agree to a night out with Haley to prove they're not too old."
Integrity,"Jay talks Phil into standing up to Claire, but freaks out when Phil turns the tables on him. Claire lobbies for Luke to win a school award. Mitch and Cam finally address a sensitive topic while babysitting for Joe."
Patriot Games,"Alex is not satisfied when she is named co-valedictorian, and neither is her competitor. Gloria prepares to take her citizenship exam until she finds out the real reason Jay wants her to take it. Mitch and Cam consider joining a protest."
Crying Out Loud,"Claire thinks about leaving her job with her father. Phil, Haley and Luke take Alex on her ""senior ditch day"". Mitch and Cam are worried that Lily doesn't show empathy. Gloria tries to drive a wedge between Manny and his girlfriend."
American Skyper,"As Alex finally graduates from high school, Phil uses Skype because he stuck in Seattle. Mitchell loses his job and Claire has to find the perfect gift for Alex while Andy is caught between Haley and Beth."
Summer Lovin',Haley loses out on Andy and gets back with Dylan. Alex and Sanjay plan their breakup for when they leave for school. Mitchell takes up art instead of finding a new job. Jay and Gloria try to get Joe in a good preschool.
The Day Alex Left for College,"Haley drops Alex off at school, where they meet her intense new roommate. Phil asks Luke to help him show a house, but he'd rather be with his friends. And everybody else is looking for an excuse to get out of Lily's soccer game."
The Closet Case,Mitchell takes a job with his dad's rival. Luke and Manny visit Alex at college to meet a girl. Gloria is upset when a cheerleader doesn't decorate Manny's locker. Phil and Claire play chicken when Dylan moves into the house.
She Crazy,"Phil builds a habitat for the duck eggs and convinces Lily to help him hatch them; Claire is anxious about telling Jay her ideas for closets; Gloria and Manny assist each other with their ""crushes""; Cam bonds with frat guys."
The Verdict,"Claire is excited to give Haley and Alex a great experience for ""Bring Your Daughter to Work Day"" but the staff is not making it easy, and Phil takes Luke and Manny's class out for community service day, which becomes a teachable moment in more ways than one. Elsewhere, Gloria is thrilled to be on jury duty leaving Jay to help out at Joe's pre-school and he is not happy about it at all. Cam and Mitch disagree over which of their friends to invite to their party, so could Gloria help mediate?"
The More You Ignore Me,"Luke is arrested, and Phil is surprised by Claire's reaction. Mitchell has a new job offer to ponder. Cameron helps Gloria uncover the secret recipe for her family's sauce. Jay is set to receive an award from the Chamber of Commerce."
"Phil's Sexy, Sexy House","Haley sneaks into the fancy house Phil is selling for some alone time, but discovers that other people had the same idea. Meanwhile, Jay secretly plans a trip for the family, and Manny tries to use his brother Joe to impress a girl."
Clean Out Your Junk Drawer,"Gloria pays for all three couples to have a Sunday afternoon group therapy session, but nobody else is taking it seriously. Meanwhile, Haley and Alex discuss whether they should dump their boyfriends."
White Christmas,"Gloria makes plans for the family to have a ""White Christmas,"" but the weather does not cooperate. Jay makes a decision about the future of his business. Alex makes a new friend. Haley and Andy continue to fool around in secret."
Playdates,"The Dunphy kids make a last-minute birthday surprise for Mitchell, and run into Ray Liotta. Jay is uncomfortable with the father of Joe's new play date. Claire asks Phil to not pick up the bill at lunch. Cam helps Lily with a new crush."
Spread Your Wings,"While Phil visits a lonely Alex at CalTech, Claire tries to get rid of the ducks. Gloria and Cam have to steal some peppers to fill their sauce recipe. Jay helps Mitchell with Lily's sleepover."
Clean for a Day,"Claire's efforts at cleaning house brings resistance from her family and a bittersweet memory for Alex. While Jay sneaks off for flying lessons with Cameron, Mitchell tries to help Gloria learn how to play golf."
Thunk in the Trunk,"Claire's new position means Phil feels like a housewife. Gloria's provocative sauce ad gets Jay jealous. Mitch and Cam rent the apartment above their own, but end up spying on their guests"
The Storm,"During an electrical storm, Phil tries too hard to prove that he's useful, Jay desperately tries to make an appointment at a bar, Manny has an embarrassing moment with Claire, and Mitch and Cam try to save Lily's failing birthday party."
I Don't Know How She Does It,"Claire doesn't tell Phil that she's using an assistant to do all her family chores. Jay, Gloria and Manny each try to keep an embarrassing secret from each other. Mitch and Cam try to find out why they've been blacklisted at gay weddings."
The Cover-Up,"Phil hides a secret about his new client from Claire, but Claire has her own secret about her yoga instructor. Jay needs help to find the identity of an online troll. Cam has an accident while forcing Lily to learn how to ride a bike."
Express Yourself,"Phil talks Claire into a last-minute trip to Paris, and Andy has a wild night out in Las Vegas with Haley. Jay's bathroom remodeling project frustrates Gloria, and Mitchell can't sleep when Cameron's sister comes to visit."
